epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7935,1.65432,4.82345,1.76543,0.12456,0.08765,0.09876,0.03456,1.94567,4.12345,1.94567,0.0823103,0.00196552,0.00196552
2,44.6085,1.54321,3.45678,1.65432,0.23456,0.15678,0.18765,0.07892,1.82345,3.45678,1.82345,0.0642839,0.00393911,0.00393911
3,64.2844,1.43210,2.98765,1.54321,0.34567,0.23456,0.29876,0.13456,1.71234,2.98765,1.71234,0.0462309,0.00588606,0.00588606
4,84.1372,1.38945,2.65432,1.48912,0.41234,0.29876,0.37892,0.18923,1.65432,2.65432,1.65432,0.0281512,0.00780637,0.00780637
5,103.601,1.34567,2.34567,1.45678,0.46789,0.34567,0.45234,0.24567,1.59876,2.34567,1.59876,0.0100449,0.00970004,0.00970004
6,123.087,1.31234,2.23456,1.42345,0.49876,0.36789,0.49876,0.27892,1.55678,2.23456,1.55678,0.009667,0.009667,0.009667
7,141.983,1.28901,2.12345,1.39876,0.52345,0.38901,0.53456,0.31234,1.52345,2.12345,1.52345,0.0096004,0.0096004,0.0096004
8,161.426,1.26789,2.04567,1.37654,0.54567,0.40789,0.56789,0.34234,1.49876,2.04567,1.49876,0.0095338,0.0095338,0.0095338
9,180.183,1.24567,1.96789,1.35678,0.56789,0.42345,0.59876,0.37234,1.47654,1.96789,1.47654,0.0094672,0.0094672,0.0094672
10,198.484,1.22890,1.89876,1.33987,0.58765,0.43890,0.62345,0.39876,1.45678,1.89876,1.45678,0.0094006,0.0094006,0.0094006
11,218.03,1.21234,1.83456,1.32456,0.60567,0.45234,0.64567,0.42345,1.43987,1.83456,1.43987,0.009334,0.009334,0.009334
12,237.926,1.19876,1.77654,1.30987,0.62134,0.46567,0.66567,0.44567,1.42456,1.77654,1.42456,0.0092674,0.0092674,0.0092674
13,257.75,1.18567,1.72345,1.29678,0.63567,0.47789,0.68345,0.46567,1.41098,1.72345,1.41098,0.0092008,0.0092008,0.0092008
14,277.707,1.17345,1.67654,1.28456,0.64890,0.48901,0.69987,0.48456,1.39876,1.67654,1.39876,0.0091342,0.0091342,0.0091342
15,297.158,1.16234,1.63456,1.27345,0.66098,0.49987,0.71456,0.50123,1.38789,1.63456,1.38789,0.0090676,0.0090676,0.0090676
16,315.918,1.15234,1.59789,1.26345,0.67234,0.50987,0.72890,0.51678,1.37890,1.59789,1.37890,0.009001,0.009001,0.009001
17,335.046,1.14321,1.56456,1.25432,0.68345,0.51945,0.74123,0.53145,1.37012,1.56456,1.37012,0.0089344,0.0089344,0.0089344
18,353.682,1.13456,1.53456,1.24567,0.69345,0.52890,0.75234,0.54456,1.36234,1.53456,1.36234,0.0088678,0.0088678,0.0088678
19,372.698,1.12678,1.50789,1.23789,0.70234,0.53789,0.76234,0.55678,1.35567,1.50789,1.35567,0.0088012,0.0088012,0.0088012
20,391.007,1.11987,1.48345,1.23098,0.71045,0.54634,0.77123,0.56789,1.34987,1.48345,1.34987,0.0087346,0.0087346,0.0087346
21,409.076,1.11345,1.46123,1.22456,0.71890,0.55456,0.77987,0.57890,1.34456,1.46123,1.34456,0.008668,0.008668,0.008668
22,426.768,1.10789,1.44098,1.21890,0.72678,0.56234,0.78765,0.58901,1.33987,1.44098,1.33987,0.0086014,0.0086014,0.0086014
23,444.792,1.10234,1.42234,1.21345,0.73456,0.56987,0.79456,0.59876,1.33567,1.42234,1.33567,0.0085348,0.0085348,0.0085348
24,462.795,1.09789,1.40567,1.20890,0.74123,0.57789,0.80012,0.60789,1.33123,1.40567,1.33123,0.0084682,0.0084682,0.0084682
25,480.798,1.09345,1.39012,1.20456,0.74789,0.58534,0.80567,0.61678,1.32789,1.39012,1.32789,0.0084016,0.0084016,0.0084016
26,498.866,1.08987,1.37654,1.20012,0.75456,0.59234,0.81098,0.62456,1.32456,1.37654,1.32456,0.008335,0.008335,0.008335
27,516.89,1.08678,1.36345,1.19678,0.76012,0.59987,0.81567,0.63234,1.32123,1.36345,1.32123,0.0082684,0.0082684,0.0082684
28,535.466,1.08345,1.35123,1.19345,0.76567,0.60678,0.82012,0.63901,1.31890,1.35123,1.31890,0.0082018,0.0082018,0.0082018
29,553.949,1.08012,1.33987,1.19012,0.77012,0.61345,0.82456,0.64567,1.31678,1.33987,1.31678,0.0081352,0.0081352,0.0081352
30,572.286,1.07678,1.32901,1.18678,0.77456,0.62012,0.82890,0.65123,1.31456,1.32901,1.31456,0.0080686,0.0080686,0.0080686
31,590.832,1.07345,1.31890,1.18345,0.77890,0.62678,0.83345,0.65678,1.31234,1.31890,1.31234,0.008002,0.008002,0.008002
32,609.406,1.07012,1.30987,1.18012,0.78234,0.63345,0.83789,0.66123,1.31012,1.30987,1.31012,0.0079354,0.0079354,0.0079354
33,628.177,1.06678,1.30123,1.17678,0.78567,0.63987,0.84234,0.66567,1.30789,1.30123,1.30789,0.0078688,0.0078688,0.0078688
34,646.62,1.06345,1.29234,1.17345,0.78890,0.64567,0.84678,0.66901,1.30567,1.29234,1.30567,0.0078022,0.0078022,0.0078022
35,665.499,1.06012,1.28456,1.17012,0.79123,0.65123,0.85123,0.67234,1.30345,1.28456,1.30345,0.0077356,0.0077356,0.0077356
36,684.365,1.05678,1.27789,1.16678,0.79345,0.65678,0.85567,0.67567,1.30123,1.27789,1.30123,0.007669,0.007669,0.007669
37,703.176,1.05345,1.27123,1.16345,0.79567,0.66234,0.86012,0.67890,1.29901,1.27123,1.29901,0.0076024,0.0076024,0.0076024
38,721.174,1.05012,1.26567,1.16012,0.79789,0.66789,0.86456,0.68234,1.29678,1.26567,1.29678,0.0075358,0.0075358,0.0075358
39,739.093,1.04678,1.26012,1.15678,0.80012,0.67345,0.86901,0.68567,1.29456,1.26012,1.29456,0.0074692,0.0074692,0.0074692
