epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1809,2.12345,6.54321,1.76543,0.31234,0.25678,0.23456,0.11234,1.98765,4.12345,1.52345,0.0823103,0.00196552,0.00196552
2,37.3261,1.98765,5.12345,1.65432,0.37892,0.31234,0.31234,0.15678,1.87654,3.87654,1.45678,0.0643099,0.00396508,0.00396508
3,53.4475,1.86543,4.56789,1.56789,0.43456,0.35678,0.38765,0.19876,1.76543,3.56789,1.39876,0.0463077,0.0059629,0.0059629
4,69.6398,1.76543,4.12345,1.49876,0.48765,0.39876,0.45678,0.24567,1.68765,3.29876,1.34567,0.0283025,0.00795767,0.00795767
5,85.6172,1.68765,3.87654,1.44567,0.53456,0.43456,0.51234,0.28901,1.62345,3.08765,1.29876,0.0102929,0.00994806,0.00994806
6,102.497,1.62345,3.65432,1.39876,0.56789,0.46789,0.55678,0.32567,1.56789,2.92345,1.26543,0.00997264,0.00997264,0.00997264
7,118.4,1.56789,3.48765,1.36543,0.59876,0.49876,0.59876,0.35678,1.52345,2.79876,1.23456,0.00996061,0.00996061,0.00996061
8,134.856,1.52345,3.34567,1.33456,0.62345,0.52345,0.63456,0.38789,1.48765,2.69876,1.20987,0.00994642,0.00994642,0.00994642
9,151.01,1.48765,3.23456,1.30987,0.64567,0.54567,0.66789,0.41234,1.45678,2.60987,1.18976,0.00993005,0.00993005,0.00993005
10,167.419,1.45678,3.12345,1.28976,0.66567,0.56789,0.69876,0.43456,1.43234,2.53456,1.17234,0.00991152,0.00991152,0.00991152
11,183.878,1.43234,3.04567,1.27234,0.68345,0.58765,0.72345,0.45678,1.41234,2.46789,1.15678,0.00989085,0.00989085,0.00989085
12,199.996,1.40987,2.96789,1.25678,0.69876,0.60567,0.74567,0.47654,1.39456,2.40987,1.14345,0.00986803,0.00986803,0.00986803
13,215.77,1.38976,2.89876,1.24345,0.71234,0.62345,0.76567,0.49567,1.37890,2.35678,1.13123,0.00984307,0.00984307,0.00984307
14,231.547,1.37123,2.83456,1.23123,0.72456,0.63987,0.78345,0.51234,1.36456,2.30987,1.12098,0.009816,0.009816,0.009816
15,247.375,1.35456,2.77654,1.22098,0.73567,0.65456,0.79987,0.52890,1.35123,2.26789,1.11123,0.00978681,0.00978681,0.00978681
16,263.408,1.33987,2.72345,1.21123,0.74567,0.66890,0.81456,0.54345,1.33987,2.22987,1.10234,0.00975553,0.00975553,0.00975553
17,278.952,1.32678,2.67456,1.20234,0.75456,0.68234,0.82890,0.55789,1.32901,2.19567,1.09456,0.00972216,0.00972216,0.00972216
18,294.411,1.31456,2.62987,1.19456,0.76234,0.69567,0.84234,0.57123,1.31987,2.16543,1.08789,0.00968672,0.00968672,0.00968672
19,309.767,1.30345,2.58901,1.18789,0.76987,0.70890,0.85456,0.58345,1.31123,2.13876,1.08123,0.00964923,0.00964923,0.00964923
20,325.369,1.29345,2.55123,1.18123,0.77678,0.72123,0.86567,0.59567,1.30345,2.11456,1.07567,0.00960971,0.00960971,0.00960971
21,341.018,1.28456,2.51678,1.17567,0.78234,0.73345,0.87654,0.60678,1.29678,2.09234,1.07012,0.00956816,0.00956816,0.00956816
22,356.886,1.27678,2.48456,1.17012,0.78789,0.74456,0.88678,0.61789,1.29012,2.07234,1.06567,0.00952461,0.00952461,0.00952461
23,372.757,1.26987,2.45456,1.16567,0.79234,0.75567,0.89678,0.62890,1.28456,2.05456,1.06123,0.00947908,0.00947908,0.00947908
24,388.793,1.26345,2.42678,1.16123,0.79678,0.76567,0.90567,0.63890,1.27901,2.03876,1.05789,0.00943159,0.00943159,0.00943159
25,404.653,1.25789,2.40123,1.15789,0.80012,0.77567,0.91456,0.64890,1.27456,2.02456,1.05456,0.00938215,0.00938215,0.00938215
26,420.589,1.25234,2.37678,1.15456,0.80345,0.78567,0.92234,0.65789,1.27012,2.01123,1.05123,0.0093308,0.0093308,0.0093308
27,436.727,1.24789,2.35456,1.15123,0.80678,0.79456,0.93012,0.66678,1.26678,1.99876,1.04890,0.00927754,0.00927754,0.00927754
28,452.767,1.24345,2.33345,1.14890,0.80901,0.80345,0.93789,0.67567,1.26345,1.98765,1.04567,0.00922242,0.00922242,0.00922242
29,469.081,1.23987,2.31345,1.14567,0.81123,0.81123,0.94456,0.68345,1.26012,1.97678,1.04345,0.00916544,0.00916544,0.00916544
30,485.011,1.23678,2.29456,1.14345,0.81345,0.81901,0.95123,0.69123,1.25789,1.96789,1.04123,0.00910664,0.00910664,0.00910664
31,501.019,1.23345,2.27678,1.14123,0.81567,0.82678,0.95789,0.69890,1.25456,1.95901,1.03901,0.00904604,0.00904604,0.00904604
32,516.624,1.23012,2.26012,1.13901,0.81789,0.83456,0.96456,0.70567,1.25123,1.95012,1.03678,0.00898367,0.00898367,0.00898367
33,532.132,1.22789,2.24456,1.13678,0.82012,0.84234,0.97012,0.71234,1.24890,1.94234,1.03456,0.00891955,0.00891955,0.00891955
34,547.668,1.22456,2.22901,1.13456,0.82234,0.84901,0.97567,0.71890,1.24678,1.93456,1.03234,0.00885371,0.00885371,0.00885371
35,563.086,1.22123,2.21456,1.13234,0.82456,0.85567,0.98123,0.72456,1.24456,1.92789,1.03012,0.00878619,0.00878619,0.00878619
36,578.934,1.21890,2.20123,1.13012,0.82678,0.86234,0.98678,0.73012,1.24234,1.92123,1.02789,0.00871701,0.00871701,0.00871701
37,594.367,1.21567,2.18890,1.12789,0.82901,0.86901,0.99234,0.73567,1.24012,1.91567,1.02567,0.0086462,0.0086462,0.0086462
38,610.132,1.21234,2.17678,1.12567,0.83123,0.87567,0.99789,0.74123,1.23789,1.91012,1.02345,0.00857379,0.00857379,0.00857379
39,625.856,1.20901,2.16567,1.12345,0.83345,0.88234,1.00345,0.74678,1.23567,1.90456,1.02123,0.00849982,0.00849982,0.00849982
40,641.226,1.20567,2.15456,1.12123,0.83567,0.88901,1.00890,0.75234,1.23345,1.89901,1.01901,0.00842431,0.00842431,0.00842431
41,656.743,1.20234,2.14456,1.11901,0.83789,0.89567,1.01456,0.75789,1.23123,1.89345,1.01678,0.00834731,0.00834731,0.00834731
42,672.366,1.19901,2.13456,1.11678,0.84012,0.90234,1.02012,0.76345,1.22901,1.88789,1.01456,0.00826884,0.00826884,0.00826884
